TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
0.138, -4.321616984E-05, -2.518455234E-02, 3.305364305E-06, -3.28182602E-02, -8.674603353E-08, 1.451990378E-03, -5.041260656E-09, 1.012122314E-02
0.139, -4.362636944E-05, -3.26719798E-02, 3.363820144E-06, -5.36343362E-02, -7.354877784E-08, 1.011404447E-03, 4.560273035E-08, 1.663033548E-02
0.14, -4.407709102E-05, -4.837160369E-02, 3.373613777E-06, -4.369040001E-02, -6.502512028E-08, -1.035835701E-02, 1.132059799E-07, 1.728827761E-02
0.141, -4.457711113E-05, -5.022617256E-02, 3.347479585E-06, -2.816506845E-02, -7.573011549E-08, -2.809902971E-02, 1.943260093E-07, 9.745390929E-03
0.142, -4.511365473E-05, -2.282080822E-02, 3.296625692E-06, -2.12743003E-02, -1.148649895E-07, -2.876107102E-02, 2.77803824E-07, -5.029748068E-03
0.143, -4.566201909E-05, -8.205883519E-04, 3.234062909E-06, -2.143814416E-03, -1.755554935E-07, -1.43502257E-02, 3.472241274E-07, -2.308526424E-02
0.144, -4.621563549E-05, -9.682855617E-03, 3.186615707E-06, 3.23749247E-02, -2.467642824E-07, -6.686141097E-03, 3.854869358E-07, -3.922978318E-02
0.145, -4.677966522E-05, -1.114460137E-02, 3.181143765E-06, 5.157602258E-02, -3.230262986E-07, -3.420403698E-03, 3.80041399E-07, -4.818702861E-02
0.146, -4.733056798E-05, 3.739807311E-02, 3.223752945E-06, 4.458645178E-02, -3.936354618E-07, 1.47258297E-02, 3.273039926E-07, -4.63968577E-02
0.147, -4.785238742E-05, 2.077065796E-02, 3.306070065E-06, 3.482927185E-02, -4.367472274E-07, 4.026905699E-02, 2.34296255E-07, -3.414391952E-02
0.148, -4.83859333E-05, -4.422439103E-02, 3.420790573E-06, 2.997753637E-02, -4.363422631E-07, 4.676478465E-02, 1.166430981E-07, -1.514697342E-02
0.149, -4.895943388E-05, -3.568601378E-02, 3.556360765E-06, 1.17221321E-02, -3.956503442E-07, 3.380923171E-02, -5.957145234E-09, 5.252819076E-03
0.15, -4.956152772E-05, -2.149966258E-02, 3.687185655E-06, -2.121266918E-02, -3.270798818E-07, 2.194772331E-02, -1.153576821E-07, 2.114668736E-02
0.151, -5.019888766E-05, -4.90323155E-02, 3.787041935E-06, -4.072494735E-02, -2.417555054E-07, 1.156019746E-02, -1.997942483E-07, 2.878136658E-02
0.152, -5.08843921E-05, -4.725762618E-02, 3.852852824E-06, -2.736625916E-02, -1.557899451E-07, -1.027763728E-02, -2.551641E-07, 2.93521269E-02
0.153, -5.157803156E-05, 3.098661518E-02, 3.904335959E-06, -1.289148169E-03, -9.102126723E-08, -3.211631601E-02, -2.828066504E-07, 2.610250722E-02
0.154, -5.221827639E-05, 7.580443029E-02, 3.960236096E-06, 1.012341659E-02, -5.75690292E-08, -3.051695912E-02, -2.872009179E-07, 2.039408831E-02
0.155, -5.279504698E-05, 5.114400402E-02, 4.02744987E-06, 1.250382118E-02, -4.544797915E-08, -1.214544439E-02, -2.744062776E-07, 1.398371558E-02
0.156, -5.332591589E-05, 4.065903809E-02, 4.107500375E-06, 1.316971905E-02, -4.088779196E-08, -2.976026544E-03, -2.491675884E-07, 1.090431147E-02
0.157, -5.382852986E-05, 1.585151492E-02, 4.191807979E-06, -4.655140037E-03, -3.981927626E-08, -4.007313683E-03, -2.120699796E-07, 1.281347359E-02
0.158, -5.431324216E-05, 1.995046494E-02, 4.253801373E-06, -3.997321967E-02, -3.997865622E-08, 1.551356545E-03, -1.605255883E-07, 1.608011072E-02
0.159, -5.477447856E-05, 2.700258523E-02, 4.265887256E-06, -5.984224567E-02, -3.551061874E-08, 7.703626176E-03, -9.259960859E-08, 1.668311307E-02
0.16, -5.523950912E-05, -3.459042201E-02, 4.223327212E-06, -4.944992239E-02, -2.940041506E-08, -4.418986342E-03, -9.135212647E-09, 1.439374505E-02
