TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
0.109, 1.047945775E-06, -2.719858111E-02, -1.237977436E-06, 0.107961813, 2.789119827E-07, 7.027504584E-03
0.11, 8.847329901E-07, -4.374102708E-02, -7.358542568E-07, 9.07667528E-02, 5.326806581E-08, 1.595475237E-02
0.111, 6.737018361E-07, -5.189569178E-02, -1.666569356E-07, 4.338199452E-02, -1.543047705E-07, 2.018741407E-02
0.112, 4.039794675E-07, -6.548662273E-02, 4.14108659E-07, -2.024549994E-02, -3.386989709E-07, 2.616980923E-02
0.113, 6.453231499E-08, -7.396318394E-02, 9.513834348E-07, -6.673651069E-02, -4.93275576E-07, 3.346539654E-02
0.114, -3.401088322E-07, -5.642521537E-02, 1.407340426E-06, -9.589912166E-02, -6.119997751E-07, 3.823946293E-02
0.115, -7.824218011E-07, -1.891852036E-02, 1.751772911E-06, -0.127149778, -6.906425694E-07, 4.192332709E-02
0.116, -1.226197189E-06, 1.599383736E-02, 1.956897834E-06, -0.151465628, -7.244225735E-07, 4.78022182E-02
0.117, -1.639131877E-06, 4.568753951E-02, 2.014074179E-06, -0.144432027, -7.084129993E-07, 5.177701997E-02
0.118, -1.986802447E-06, 8.48404841E-02, 1.941320849E-06, -0.115427377, -6.436609803E-07, 4.570803824E-02
0.119, -2.225512429E-06, 0.133080675, 1.762579664E-06, -9.654802823E-02, -5.414933271E-07, 2.912332505E-02
0.12, -2.313596911E-06, 0.168170669, 1.490794525E-06, -8.953988395E-02, -4.197637119E-07, 1.000056884E-02
0.121, -2.231981707E-06, 0.171229159, 1.140424419E-06, -6.763041477E-02, -2.955743849E-07, -5.081215711E-03
0.122, -1.992284726E-06, 0.144934672, 7.427656974E-07, -2.69469246E-02, -1.810706125E-07, -1.428996977E-02
0.123, -1.627033046E-06, 0.106174763, 3.346625693E-07, 6.058407664E-03, -8.190309166E-08, -1.638263463E-02
0.124, -1.173853216E-06, 6.968144515E-02, -6.002831027E-08, 2.076625257E-02, 3.176922583E-09, -1.179244473E-02
0.125, -6.660009479E-07, 3.966335927E-02, -4.264766118E-07, 3.571873749E-02, 7.919440883E-08, -6.332568023E-03
0.126, -1.325972022E-07, 1.14396215E-02, -7.454389862E-07, 5.925306706E-02, 1.488332619E-07, -6.424603326E-03
0.127, 3.959992455E-07, -2.105413639E-02, -9.978567934E-07, 7.383633771E-02, 2.094467741E-07, -1.162604498E-02
0.128, 8.85191485E-07, -5.775425541E-02, -1.178292131E-06, 7.012878861E-02, 2.558065585E-07, -1.688144213E-02
0.129, 1.299824117E-06, -9.136506018E-02, -1.290782265E-06, 6.576145249E-02, 2.838675899E-07, -1.971609285E-02
0.13, 1.612076847E-06, -0.113394932, -1.332603436E-06, 7.557628548E-02, 2.920701999E-07, -2.000078449E-02
